element,wavelength,intensity,acc,state,source,reference,unit
Ho,2503.66,170,,2,nist,L3475,A
Ho,2509.29,0,,2,nist,L3475,A
Ho,2514.31,110,,2,nist,L3475,A
Ho,2519.49,0,,2,nist,L3475,A
Ho,2537.62,130,,2,nist,L3475,A
Ho,2568.50,0,,2,nist,L3475,A
Ho,2591.82,0,,2,nist,L3475,A
Ho,2606.64,190,,2,nist,L3475,A
Ho,2611.29,110,,2,nist,L3475,A
Ho,2614.77,0,,2,nist,L3475,A
Ho,2625.98,0,,2,nist,L3475,A
Ho,2641.09,0,,2,nist,L3475,A
Ho,2650.47,0,,2,nist,L3475,A
Ho,2667.03,0,,2,nist,L3475,A
Ho,2689.83,0,,2,nist,L3475,A
Ho,2714.45,210,,2,nist,L3475,A
Ho,2734.76,230,,2,nist,L3475,A
Ho,2751.16,270,,2,nist,L3475,A
Ho,2760.17,110,,2,nist,L3475,A
Ho,2767.67,110,,2,nist,L3475,A
Ho,2770.71,270,,2,nist,L3475,A
Ho,2773.65,110,,2,nist,L3475,A
Ho,2777.92,140,,2,nist,L3475,A
Ho,2795.23,140,,2,nist,L3475,A
Ho,2800.82,100,,2,nist,L3475,A
Ho,2807.55,100,,2,nist,L3475,A
Ho,2810.82,160,,2,nist,L3475,A
Ho,2812.19,220,,2,nist,L3475,A
Ho,2812.83,180,,2,nist,L3475,A
Ho,2815.57,190,,2,nist,L3475,A
Ho,2825.03,300,,2,nist,L3475,A
Ho,2827.47,140,,2,nist,L3475,A
Ho,2832.52,270,,2,nist,L3475,A
Ho,2835.82,210,,2,nist,L3475,A
Ho,2836.68,110,,2,nist,L3475,A
Ho,2845.02,110,,2,nist,L3475,A
Ho,2845.52,100,,2,nist,L3475,A
Ho,2849.94,270,,2,nist,L3475,A
Ho,2862.07,100,,2,nist,L3475,A
Ho,2862.33,250,,2,nist,L3475,A
Ho,2863.56,150,,2,nist,L3475,A
Ho,2872.83,210,,2,nist,L3475,A
Ho,2874.90,230,,2,nist,L3475,A
Ho,2875.27,160,,2,nist,L3475,A
Ho,2881.10,360,,2,nist,L3475,A
Ho,2881.83,460,,2,nist,L3475,A
Ho,2895.84,340,,2,nist,L3475,A
Ho,2896.47,160,,2,nist,L3475,A
Ho,2901.69,170,,2,nist,L3475,A
Ho,2910.26,570,,2,nist,L3475,A
Ho,2916.67,170,,2,nist,L3475,A
Ho,2920.47,300,,2,nist,L3475,A
Ho,2926.21,110,,2,nist,L3475,A
Ho,2926.95,160,,2,nist,L3475,A
Ho,2929.16,300,,2,nist,L3475,A
Ho,2942.91,220,,2,nist,L3475,A
Ho,2945.35,300,,2,nist,L3475,A
Ho,2953.97,250,,2,nist,L3475,A
Ho,2973.87,390,,2,nist,L3475,A
