element,wavelength,intensity,acc,state,source,reference,unit
Dy,2357.63,260,,2,nist,L3475,A
Dy,2388.09,130,,2,nist,L3475,A
Dy,2403.02,180,,2,nist,L3475,A
Dy,2410.74,240,,2,nist,L3475,A
Dy,2423.49,150,,2,nist,L3475,A
Dy,2440.58,260,,2,nist,L3475,A
Dy,2455.89,0,,2,nist,L3475,A
Dy,2460.73,110,,2,nist,L3475,A
Dy,2472.15,0,,2,nist,L3475,A
Dy,2481.68,110,,2,nist,L3475,A
Dy,2491.36,170,,2,nist,L3475,A
Dy,2511.07,0,,2,nist,L3475,A
Dy,2514.31,170,,2,nist,L3475,A
Dy,2518.37,170,,2,nist,L3475,A
Dy,2544.57,130,,2,nist,L3475,A
Dy,2545.88,0,,2,nist,L3475,A
Dy,2553.06,150,,2,nist,L3475,A
Dy,2558.71,180,,2,nist,L3475,A
Dy,2560.98,0,,2,nist,L3475,A
Dy,2567.02,0,,2,nist,L3475,A
Dy,2586.07,220,,1,nist,L3475,A
Dy,2592.34,0,,2,nist,L3475,A
Dy,2593.32,0,,2,nist,L3475,A
Dy,2600.94,130,,2,nist,L3475,A
Dy,2601.54,130,,2,nist,L3475,A
Dy,2609.47,0,,2,nist,L3475,A
Dy,2624.47,370,,1,nist,L3475,A
Dy,2635.59,440,,2,nist,L3475,A
Dy,2642.94,110,,1,nist,L3475,A
Dy,2646.14,110,,2,nist,L3475,A
Dy,2668.73,110,,1,nist,L3475,A
Dy,2677.64,0,,2,nist,L3475,A
Dy,2678.14,0,,2,nist,L3475,A
Dy,2690.11,0,,2,nist,L3475,A
Dy,2693.63,0,,2,nist,L3475,A
Dy,2709.81,0,,2,nist,L3475,A
Dy,2727.98,0,,2,nist,L3475,A
Dy,2730.31,0,,2,nist,L3475,A
Dy,2736.60,0,,1,nist,L3475,A
Dy,2740.11,0,,2,nist,L3475,A
Dy,2741.51,0,,2,nist,L3475,A
Dy,2756.56,220,,2,nist,L3475,A
Dy,2757.89,0,,2,nist,L3475,A
Dy,2767.32,0,,2,nist,L3475,A
Dy,2773.24,0,,2,nist,L3475,A
Dy,2773.43,110,,2,nist,L3475,A
Dy,2780.40,0,,2,nist,L3475,A
Dy,2792.26,0,,2,nist,L3475,A
Dy,2801.16,120,,2,nist,L3475,A
Dy,2801.36,110,,2,nist,L3475,A
Dy,2802.24,110,,2,nist,L3475,A
Dy,2817.22,300,,2,nist,L3475,A
Dy,2826.25,140,,2,nist,L3475,A
Dy,2863.54,140,B+,1,nist,L3475,A
Dy,2878.72,190,,2,nist,L3475,A
Dy,2885.13,110,,2,nist,L3475,A
Dy,2886.38,120,,1,nist,L3475,A
Dy,2891.59,120,,2,nist,L3475,A
