element,wavelength,intensity,acc,state,source,reference,unit
Pa,10926.31,3000,,1,nist,u2,A
Pa,11794.96,10000,,1,nist,u2,A
Pa,14348.68,10000,,1,nist,u2,A
Pa,18483.66,3000,,1,nist,u2,A
Pa,3505.97,3000,,1,nist,u2,A
Pa,3571.58,3000,,1,nist,u2,A
Pa,3572.84,3000,,1,nist,u2,A
Pa,3619.10,3000,,1,nist,u2,A
Pa,3637.56,10000,,1,nist,u2,A
Pa,3703.79,3000,,1,nist,u2,A
Pa,3753.74,3000,,1,nist,u2,A
Pa,3874.45,3000,,1,nist,u2,A
Pa,3932.94,3000,,1,nist,u2,A
Pa,3982.95,3000,,1,nist,u2,A
Pa,3983.36,10000,,1,nist,u2,A
Pa,6037.45,3000,,1,nist,u2,A
Pa,6164.27,3000,,1,nist,u2,A
Pa,6360.37,3000,,1,nist,u2,A
Pa,6381.01,3000,,1,nist,u2,A
Pa,6440.75,3000,,1,nist,u2,A
Pa,6794.62,3000,,1,nist,u2,A
Pa,6947.64,10000,,1,nist,u2,A
Pa,6962.01,3000,,1,nist,u2,A
Pa,6963.70,3000,,1,nist,u2,A
Pa,6994.66,3000,,1,nist,u2,A
Pa,7078.22,3000,,1,nist,u2,A
Pa,7102.90,3000,,1,nist,u2,A
Pa,7116.85,10000,,1,nist,u2,A
Pa,7173.53,3000,,1,nist,u2,A
Pa,7229.12,3000,,1,nist,u2,A
Pa,7320.81,3000,,1,nist,u2,A
Pa,7370.28,10000,,1,nist,u2,A
Pa,7473.95,3000,,1,nist,u2,A
Pa,7495.21,10000,,1,nist,u2,A
Pa,7560.34,3000,,1,nist,u2,A
Pa,7610.29,10000,,1,nist,u2,A
Pa,7628.89,10000,,1,nist,u2,A
Pa,7637.28,10000,,1,nist,u2,A
Pa,7671.45,10000,,1,nist,u2,A
Pa,7681.31,3000,,1,nist,u2,A
Pa,7751.32,10000,,1,nist,u2,A
Pa,7875.12,3000,,1,nist,u2,A
Pa,7947.75,3000,,1,nist,u2,A
Pa,8041.55,10000,,1,nist,u2,A
Pa,8102.07,10000,,1,nist,u2,A
Pa,8201.29,10000,,1,nist,u2,A
Pa,8274.14,10000,,1,nist,u2,A
Pa,8361.28,3000,,1,nist,u2,A
Pa,8371.90,3000,,1,nist,u2,A
Pa,8443.36,3000,,1,nist,u2,A
Pa,8535.00,10000,,1,nist,u2,A
Pa,8575.32,10000,,1,nist,u2,A
Pa,8642.28,3000,,1,nist,u2,A
Pa,8655.89,3000,,1,nist,u2,A
Pa,8737.67,10000,,1,nist,u2,A
