element,wavelength,intensity,acc,state,source,reference,unit
O,10011.63,0,,2,nist,L6336,A
O,10013.61,0,,2,nist,L6336,A
O,10035.64,0,,2,nist,L6336,A
O,10059.30,0,,2,nist,L6336,A
O,10062.84,0,,2,nist,L6336,A
O,10076.56,0,,2,nist,L6336,A
O,10080.71,0,,2,nist,L6336,A
O,10100.25,0,,2,nist,L6336,A
O,10101.35,0,,2,nist,L6336,A
O,10103.96,0,,2,nist,L6336,A
O,10104.49,0,,2,nist,L6336,A
O,10108.87,0,,2,nist,L6336,A
O,10110.40,0,,2,nist,L6336,A
O,10110.40,0,,2,nist,L6336,A
O,10110.40,0,,2,nist,L6336,A
O,10113.14,0,,2,nist,L6336,A
O,10116.76,0,,2,nist,L6336,A
O,10119.67,0,,2,nist,L6336,A
O,10120.47,0,,2,nist,L6336,A
O,10121.72,0,,2,nist,L6336,A
O,10170.35,0,,2,nist,L6336,A
O,10270.41,0,,2,nist,L6336,A
O,10274.67,0,,2,nist,L6336,A
O,10330.49,0,,2,nist,L6336,A
O,10445.08,0,,2,nist,L6336,A
O,10447.93,0,,2,nist,L6336,A
O,1074.962,0,,2,nist,L10549,A
O,1083.139,0,B,2,nist,L10549,A
O,1085.056,0,B,2,nist,L10549,A
O,1086.022,0,C+,2,nist,L10549,A
O,11122.91,0,,2,nist,L10621,A
O,1128.081,0,B,2,nist,L10549,A
O,1129.251,0,B,2,nist,L10549,A
O,1130.147,0,B,2,nist,L10549,A
O,1131.325,0,B,2,nist,L10549,A
O,1131.914,0,B,2,nist,L10549,A
O,1132.389,0,B,2,nist,L10549,A
O,1132.975,0,B,2,nist,L10549,A
O,11365.73,0,,2,nist,L10621,A
O,1142.601,0,,2,nist,L10549,A
O,1142.947,0,,2,nist,L10549,A
O,1143.258,0,,2,nist,L10549,A
O,1143.548,0,,2,nist,L10549,A
O,1147.246,0,C+,2,nist,L10549,A
O,1148.895,0,C+,2,nist,L10549,A
O,1153.368,0,C,2,nist,L10549,A
O,1154.102,0,C,2,nist,L10549,A
O,11666.25,0,,2,nist,L10621,A
O,1200.720,0,,2,nist,L10549,A
O,1201.485,0,,2,nist,L10549,A
O,1201.822,0,,2,nist,L10549,A
O,1202.025,0,,2,nist,L10549,A
O,1203.004,0,,2,nist,L10549,A
O,1256.074,0,,2,nist,L10549,A
O,1257.345,0,,2,nist,L10549,A
O,1258.156,0,,2,nist,L10549,A
O,1259.931,0,,2,nist,L10549,A
O,1261.016,0,,2,nist,L10549,A
O,1275.143,0,,2,nist,L10549,A
O,1286.409,0,,2,nist,L10549,A
O,1289.127,0,,2,nist,L10549,A
O,1289.387,0,,2,nist,L10549,A
O,1315.338,0,,2,nist,L10549,A
O,1315.518,0,,2,nist,L10549,A
O,1316.150,0,,2,nist,L10549,A
O,1317.162,0,,2,nist,L10549,A
O,1318.269,0,,2,nist,L10549,A
O,1319.918,0,,2,nist,L10549,A
O,1320.567,0,,2,nist,L10549,A
O,1320.957,0,,2,nist,L10549,A
O,1321.317,0,,2,nist,L10549,A
O,1322.402,0,,2,nist,L10549,A
O,1323.731,0,,2,nist,L10549,A
O,1373.437,0,D,2,nist,L10549,A
O,1373.595,0,C,2,nist,L10549,A
O,1376.826,0,D,2,nist,L10549,A
O,1392.806,0,,2,nist,L10549,A
O,1396.304,0,,2,nist,L10549,A
O,1433.772,0,D,2,nist,L10549,A
O,1435.943,0,C,2,nist,L10549,A
O,1439.233,0,C,2,nist,L10549,A
O,1502.838,0,C+,2,nist,L10549,A
O,1503.045,0,C+,2,nist,L10549,A
O,1504.121,0,C+,2,nist,L10549,A
O,1559.946,0,D,2,nist,L10549,A
O,1560.087,0,C,2,nist,L10549,A
O,1563.150,0,,2,nist,L10549,A
O,1563.485,0,,2,nist,L10549,A
O,1564.329,0,C,2,nist,L10549,A
O,1564.463,0,D,2,nist,L10549,A
O,1578.384,0,,2,nist,L10549,A
O,1593.354,0,C+,2,nist,L10549,A
O,1593.977,0,C+,2,nist,L10549,A
O,1594.189,0,C+,2,nist,L10549,A
O,1616.963,0,D,2,nist,L10549,A
O,1632.681,0,,2,nist,L10549,A
O,1636.249,0,,2,nist,L10549,A
O,1637.824,0,,2,nist,L10549,A
